1580232842.213,0.61,0.9567,0.69,0.7652,3
1580232842.387,0.59,0.9648,0.71,0.7962,3
1580232842.555,0.61,0.9535,0.65,0.8631,3
1580232842.723,0.58,1.0003,0.7,0.7962,3
1580232842.891,0.63,0.9047,0.64,0.8117,3
1580232843.069,0.57,0.9591,0.65,0.8298,3
1580232843.241,0.6,0.9257,0.6,0.8924,3
1580232843.411,0.58,0.9767,0.67,0.8244,3
1580232843.588,0.61,0.9261,0.69,0.782,3
1580232843.761,0.57,1.0026,0.69,0.7934,3
1580232843.951,0.59,0.9447,0.66,0.8571,3
1580232844.12,0.6,0.9573,0.67,0.8375,3
1580232844.294,0.63,0.9091,0.68,0.7884,3
1580232844.475,0.61,0.9189,0.67,0.7779,3
1580232844.645,0.57,0.9794,0.67,0.8202,3
1580232844.815,0.63,0.9313,0.69,0.8217,3
1580232844.992,0.6,0.9631,0.67,0.799,3
1580232845.164,0.58,0.9784,0.67,0.7876,3
1580232845.341,0.62,0.9033,0.7,0.7625,3
1580232845.509,0.61,0.9003,0.74,0.7857,3
1580232845.681,0.59,0.9546,0.71,0.807,3
1580232845.849,0.63,0.9059,0.71,0.7839,3
1580232846.018,0.64,0.8974,0.7,0.778,3
1580232846.188,0.65,0.8955,0.68,0.7877,3
1580232846.388,0.6,0.9388,0.67,0.8499,3
1580232846.556,0.62,0.8853,0.68,0.7952,3
1580232846.724,0.65,0.8723,0.7,0.7547,3
1580232846.893,0.62,0.9131,0.71,0.7695,3
1580232847.065,0.6,0.9545,0.68,0.8296,3
1580232847.234,0.63,0.9064,0.68,0.7894,3
1580232847.403,0.63,0.9154,0.67,0.7558,3
1580232847.574,0.57,0.9654,0.67,0.7927,3
1580232847.743,0.63,0.9112,0.62,0.8765,3
1580232847.911,0.65,0.8981,0.68,0.8266,3
1580232848.08,0.62,0.9272,0.68,0.7699,3
1580232848.249,0.6,0.922,0.68,0.7612,3
1580232848.449,0.65,0.8793,0.7,0.8165,3
1580232848.646,0.63,0.8986,0.72,0.8036,3
1580232848.816,0.62,0.9094,0.7,0.7477,3
1580232848.984,0.62,0.8907,0.71,0.7466,3
1580232849.156,0.64,0.8825,0.71,0.7567,3
1580232849.324,0.65,0.8547,0.69,0.8064,3
1580232849.493,0.64,0.8639,0.69,0.7843,3
1580232849.663,0.63,0.8926,0.67,0.7473,3
1580232849.835,0.62,0.8977,0.67,0.748,3
1580232850.002,0.67,0.806,0.68,0.7786,3
1580232850.185,0.64,0.8591,0.7,0.7726,3
1580232850.353,0.66,0.8354,0.71,0.7392,3
1580232850.521,0.64,0.859,0.73,0.738,3
1580232850.69,0.65,0.8419,0.73,0.7569,3
1580232850.859,0.64,0.8755,0.68,0.7393,3
1580232850.89,0.72,0.7843,0.68,0.7512,3
1580232851.059,0.62,0.8741,0.73,0.7459,4
1580232851.249,0.64,0.893,0.73,0.7116,4
1580232851.449,0.63,0.8543,0.72,0.7311,4
1580232851.618,0.64,0.8758,0.71,0.759,4
1580232851.789,0.61,0.8988,0.65,0.7338,4
1580232851.957,0.64,0.8596,0.67,0.7422,4
1580232852.126,0.64,0.8362,0.67,0.8227,4
1580232852.294,0.61,0.8937,0.7,0.7821,4
1580232852.462,0.64,0.8757,0.69,0.754,4
1580232852.632,0.62,0.8856,0.7,0.7722,4
1580232852.802,0.62,0.9117,0.72,0.8366,4
1580232852.97,0.62,0.911,0.67,0.778,4
1580232853.141,0.63,0.8932,0.66,0.7381,4
1580232853.309,0.64,0.9036,0.68,0.7593,4
1580232853.479,0.64,0.8804,0.66,0.8078,4
1580232853.675,0.63,0.8968,0.73,0.7775,4
1580232853.846,0.65,0.8714,0.66,0.7503,4
1580232854.013,0.62,0.9023,0.7,0.7429,4
1580232854.186,0.6,0.9385,0.67,0.7807,4
1580232854.355,0.64,0.8873,0.7,0.7334,4
1580232854.529,0.65,0.8416,0.67,0.7219,4
1580232854.697,0.61,0.9217,0.75,0.7546,4
1580232854.869,0.64,0.8466,0.71,0.8039,4
